Comune,media_prima,Comune,media_dopo,var
Fermo,168466.53927070525,Fermo,178358.13399321266,5.871548596729238
Passignano sul Trasimeno,23640.46439370644,Passignano sul Trasimeno,25251.437952488686,6.814475096399207
Magione,53390.35164257892,Magione,56775.91142533936,6.341145316713839
Sinalunga,294.92385455104545,Sinalunga,289.0447963800905,-1.9934156156695113
Monte Urano,20967.56269218942,Monte Urano,24957.62605580694,19.02969564079972
Nocera Umbra,34448.33100143501,Nocera Umbra,34764.689517345396,0.9183565842339465
Monte San Pietrangeli,15457.371873718736,Monte San Pietrangeli,16762.27021116139,8.441915922727443
Francavilla d'Ete,4419.8575107626075,Francavilla d'Ete,5220.042496229261,18.10431633866379
Torre San Patrizio,8739.984317343173,Torre San Patrizio,10879.01742081448,24.47410688399887
Porto San Giorgio,62166.10706232062,Porto San Giorgio,70677.44268476623,13.691279741729875
Torrita di Siena,477.9778213407135,Torrita di Siena,482.7769607843138,1.0040506545134003
Corciano,64716.577567650675,Corciano,77761.72803544495,20.157355283748874
Montepulciano,35498.524369618695,Montepulciano,36347.00916289593,2.390197362692081
Castiglione del Lago,95375.95377203771,Castiglione del Lago,98252.4479638009,3.0159532649481346
Rapagnano,9614.995131201313,Rapagnano,10684.109615384616,11.119241035431768
Assisi,147114.92286797866,Assisi,171740.9979826546,16.739345427775163
Magliano di Tenna,8543.94065190652,Magliano di Tenna,9082.92656485671,6.308399541959836
Grottazzolina,10232.081885506355,Grottazzolina,11253.240592006032,9.979970038610988
Ponzano di Fermo,6514.579066728167,Ponzano di Fermo,6905.130656108598,5.995039516445352
Lapedona,4121.784196904469,Lapedona,4984.294702111613,20.925658986584114
Altidona,11015.748321545718,Altidona,13967.260727752639,26.793571530987627
Monterubbiano,11813.265631406313,Monterubbiano,12218.111387631976,3.427043536118875
Monte Giberto,5101.571430401805,Monte Giberto,8626.927356711914,69.10333363758173
Panicale,17836.67065139401,Panicale,19798.778827300153,11.000417142045478
Pedaso,9572.503062218122,Pedaso,11628.920380844645,21.482545424749276
Valtopina,7881.3490159901585,Valtopina,8445.929506033184,7.163500676059018
Montottone,6052.487981754818,Montottone,5986.2592571644045,-1.0942396711907494
Petritoli,8927.37731908569,Petritoli,10909.929411764706,22.20755348203499
Campofilone,5101.266323288233,Campofilone,5530.894381598794,8.421988406079262
Torgiano,30924.750281877816,Torgiano,34319.6012254902,10.977779651148225
Bastia Umbra,80358.47332410823,Bastia Umbra,87989.95554298643,9.496798412406733
Moresco,1699.5190780032801,Moresco,1940.7296568627448,14.192872676831414
Montefiore dell'Aso,10703.42605832308,Montefiore dell'Aso,11711.133484162896,9.414811858827322
Monte Vidon Combatte,3492.6593122181225,Monte Vidon Combatte,3100.8131033182503,-11.219136304795157
Chiusi,39831.26691266913,Chiusi,40643.59875565611,2.039432601448581
Chianciano Terme,5446.64913899139,Chianciano Terme,5082.474924585219,-6.6862066036001115
Foligno,218101.68899907748,Foligno,242321.17122926094,11.104674311020997
Massignano,6033.667038232883,Massignano,5956.203865007541,-1.2838489882601987
Spello,48580.863443009424,Spello,48167.9185331825,-0.8500155834227894
Cupra Marittima,24439.86409645346,Cupra Marittima,27058.97196455505,10.7165402301957
Bettona,25483.196635403852,Bettona,25819.222888386124,1.3186189228529919
Paciano,6220.416346350963,Paciano,6202.926093514328,-0.2811749545815347
Carassai,5776.887620438703,Carassai,5159.984615384616,-10.678812633838971
Marsciano,66669.54611264863,Marsciano,71377.65452488688,7.061857604794788
Ripatransone,28516.14152829028,Ripatransone,30494.479977375566,6.937609168206066
Sarteano,15112.751870643708,Sarteano,16850.61557315234,11.499320027111711
Città della Pieve,41373.61353269784,Città della Pieve,44950.83090120664,8.646132312522568
Deruta,35240.671778905285,Deruta,39816.915365761684,12.98568771777981
Cannara,22390.3786900369,Cannara,21310.69511689291,-4.822087147746273
Piegaro,18978.253241594917,Piegaro,20181.348435143285,6.339335755682334
Grottammare,61902.96207462075,Grottammare,68133.47143665158,10.064961599931651
Cetona,14441.012325748256,Cetona,13990.425584464556,-3.120188052746868
Bevagna,28469.50349784748,Bevagna,28861.161802413273,1.3757117492245905
Gualdo Cattaneo,26332.831462689628,Gualdo Cattaneo,28023.8782239819,6.4218189513280315
Acquaviva Picena,14712.139747334973,Acquaviva Picena,17761.656768476623,20.727895965602514
San Benedetto del Tronto,192682.39482113576,San Benedetto del Tronto,218750.52307692307,13.529065942939916
Collazzone,18512.227654776547,Collazzone,18972.269947209654,2.4850725747984534
Montegabbione,3446.5934168716685,Montegabbione,4174.757334087481,21.12706168506341
Monteleone d'Orvieto,4276.371220274702,Monteleone d'Orvieto,4952.669023378582,15.814759015716056
San Venanzo,15718.59813191882,San Venanzo,16902.588838612366,7.532419219302307
Monteprandone,34438.86822211972,Monteprandone,38704.756014328814,12.386840835463795
Trevi,32246.91684604346,Trevi,33614.5189102564,4.241032005454321
Radicofani,255.15730063550635,Radicofani,161.94962292609353,-36.529496697631444
Montefalco,22602.383725399755,Montefalco,20838.854826546,-7.8024022611029435
Monsampolo del Tronto,10620.97306785568,Monsampolo del Tronto,14332.204449472096,34.942479920681066
San Casciano dei Bagni,10486.03405596556,San Casciano dei Bagni,10532.94766214178,0.44739131997698145
Fabro,7599.535157851578,Fabro,12168.680637254902,60.12401264678194
Spinetoli,15621.423021730217,Spinetoli,18819.79415535445,20.474262358654087
Fratta Todina,6986.969211254614,Fratta Todina,7876.494551282052,12.73120451990243
Colonnella,16519.898267732675,Colonnella,18778.7145173454,13.673306051918832
Martinsicuro,67178.31734317343,Martinsicuro,75279.42758295627,12.059114547926466
Parrano,1817.693867876179,Parrano,2565.923774509804,41.16369207472037
Todi,63641.77411336613,Todi,70772.78782051282,11.204926019887656
Campello sul Clitunno,14719.079515170153,Campello sul Clitunno,20204.738650075415,37.26903662183149
Controguerra,8770.016195161952,Controguerra,11676.193382352942,33.13764903643171
Giano dell'Umbria,18573.7557400574,Giano dell'Umbria,20842.107447209655,12.212671141465353
Ficulle,10018.06401189012,Ficulle,12676.587801659125,26.53730088581675
Allerona,9903.292102296024,Allerona,11678.366911764706,17.924088183333915
Monte Castello di Vibio,5092.903905289053,Monte Castello di Vibio,5343.463046757165,4.9197696663371735
Ancarano,10269.923739237393,Ancarano,11356.017269984917,10.575478049539774
